id,url,team,name,image,position,shoots,height,weight,college,birthDate,highSchoolName,highSchoolCity,highSchoolState,yearsFrom,yearsTo,seasonsPlayed,gamesPlayed,minutesPlayed,fieldGoalsMade,fieldGoalAttempts,threePointsMade,threePointAttempts,freeThrowsMade,freeThrowAttempts,offensiveRebounds,rebounds,asssists,steals,blocks,turnovers,fouls,points,fieldGoalPercentage,threePointPercentage,freeThrowPercentage,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame
1,/players/a/abdelal01.html,BOS,Alaa Abdelnaby,,PF,R,6-10,240,Duke University,1968-06-24,Bloomfield,Bloomfield,New Jersey,1993,1994,2,76,1311,243,472,0,0,92,125,126,346,20,21,25,101,185,578,0.515,,0.736,17.3,7.6,4.6,0.3
2,/players/a/abdulza01.html,BOS,Zaid Abdul-Aziz,,C/PF,R,6-9,235,Iowa State University,1946-04-07,John Jay,Brooklyn,New York,1978,1978,1,2,24,3,13,,,2,3,6,15,3,1,1,3,4,8,0.231,,0.667,12,4,7.5,1.5
3,/players/a/acresma01.html,BOS,Mark Acres,,C,R,6-11,220,Oral Roberts University,1962-11-15,Palos Verdes,Palos Verdes Estates,California,1988,1989,2,141,1783,163,317,1,1,97,159,164,416,61,48,33,77,292,424,0.514,1,0.61,12.6,3,3,0.4
4,/players/a/aingeda01.html,BOS,Danny Ainge,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/aingeda01.jpg,PG/SG,R,6-4,175,Brigham Young University,1959-03-17,Eugene,North Eugene,Oregon,1982,1989,8,556,15603,2537,5210,348,901,835,963,405,1534,2422,671,58,875,1420,6257,0.487,0.386,0.867,28.1,11.3,2.8,4.4
5,/players/a/allenka01.html,BOS,Kadeem Allen,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/allenka01.jpg,PG,R,6-3,192,University of Arizona,1993-01-15,New Hanover,Wilmington,North Carolina,2018,2018,1,18,107,6,22,0,11,7,9,4,11,12,3,2,9,15,19,0.273,0,0.778,5.9,1.1,0.6,0.7
6,/players/a/allenra02.html,BOS,Ray Allen,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/allenra02.jpg,SG,R,6-5,205,University of Connecticut,1975-07-20,Hillcrest,Dalzell,South Carolina,2008,2012,5,358,12774,2108,4470,798,1949,973,1064,251,1215,981,324,78,575,716,5987,0.472,0.409,0.914,35.7,16.7,3.4,2.7
7,/players/a/allento01.html,BOS,Tony Allen,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/allento01.jpg,PG/SF/SG,R,6-4,213,,1982-01-11,Crane Technical Preparatory,Chicago,Illinois,2005,2010,6,336,6194,881,1846,55,187,606,829,260,873,439,351,117,471,744,2423,0.477,0.294,0.731,18.4,7.2,2.6,1.3
8,/players/a/anderje01.html,BOS,Jerome Anderson,,SG,R,6-5,195,West Virginia University,1953-10-09,Mullens,Mullens,West Virginia,1976,1976,1,22,126,25,45,,,11,16,4,13,6,3,3,,25,61,0.556,,0.688,5.7,2.8,0.6,0.3
9,/players/a/anderke01.html,BOS,Kenny Anderson,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/anderke01.jpg,PG,L,6-0,168,Georgia Institute of Technology,1970-10-09,Archbishop Molloy,Jamaica,New York,1998,2002,5,241,7268,1059,2433,121,337,478,606,155,715,1250,383,22,401,616,2717,0.435,0.359,0.789,30.2,11.3,3,5.2
10,/players/a/anthojo01.html,BOS,Joel Anthony,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/anthojo01.jpg,PF/C,L,6-9,245,"University of Nevada, Las Vegas",1982-08-09,Dawson College,Montreal,,2014,2014,1,21,149,10,26,0,0,2,6,13,31,2,3,8,2,13,22,0.385,,0.333,7.1,1,1.5,0.1
11,/players/a/architi01.html,BOS,Tiny Archibald,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/architi01.jpg,PG,L,6-1,150,University of Texas at El Paso,1948-09-02,DeWitt Clinton,Bronx,New York,1979,1983,5,363,11324,1567,3338,15,67,1401,1773,170,683,2563,326,41,1045,792,4550,0.469,0.224,0.79,31.2,12.5,1.9,7.1
12,/players/a/ardji01.html,BOS,Jim Ard,,C,R,6-8,215,University of Cincinnati,1948-09-19,Thornton Township,Harvey,Illinois,1975,1978,4,204,2550,292,815,,,169,243,233,788,142,43,96,0,366,753,0.358,,0.695,12.5,3.7,3.9,0.7
13,/players/a/arroyca01.html,BOS,Carlos Arroyo,https://d2cwpp38twqe55.cloudfront.net/req/201810111/images/players/arroyca01.jpg,SG/PG,R,6-2,202,Florida International University,1979-07-30,Colegio Santiago Apostol,Fajardo,,2011,2011,1,15,190,11,35,3,5,11,12,7,23,25,7,0,17,11,36,0.314,0.6,0.917,12.7,2.4,1.5,1.7
