,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Mahmoud Abdul-Rauf\abdulma02,2001,2001,1,41,486,120,246,4,14,22,29,5,25,76,9,1,26,50,266,.488,.286,.759,11.9,6.5,0.6,1.9
2,Shareef Abdur-Rahim\abdursh01,1997,2001,5,375,14237,2787,6011,80,274,2147,2680,950,3070,1081,416,374,1148,1019,7801,.464,.292,.801,38.0,20.8,8.2,2.9
3,Jordan Adams\adamsjo01,2015,2016,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,.402,.385,.607,8.2,3.2,0.9,0.6
4,Tony Allen\allento01,2011,2017,7,462,11588,1663,3510,66,245,736,1059,741,1964,629,796,217,628,1154,4128,.474,.269,.695,25.1,8.9,4.3,1.4
5,Ashraf Amaya\amayaas01,1996,1996,1,54,1104,121,252,0,1,97,149,114,303,33,22,10,57,151,339,.480,.000,.651,20.4,6.3,5.6,0.6
6,Chris Andersen\anderch01,2016,2016,1,20,366,34,62,2,9,22,32,33,89,9,14,10,7,25,92,.548,.222,.688,18.3,4.6,4.5,0.5
7,Kyle Anderson\anderky01,2019,2019,1,4,89,7,19,0,2,3,6,3,19,8,5,2,7,9,17,.368,.000,.500,22.3,4.3,4.8,2.0
8,Nick Anderson\anderni01,2002,2002,1,15,219,21,76,13,48,5,9,1,33,14,6,6,14,17,60,.276,.271,.556,14.6,4.0,2.2,0.9
9,Greg Anthony\anthogr01,1996,1997,2,134,3959,523,1288,178,509,359,475,54,358,883,245,15,289,259,1583,.406,.350,.756,29.5,11.8,2.7,6.6
10,Robert Archibald\archiro01,2003,2003,1,12,72,6,20,0,0,7,18,6,17,3,0,3,7,9,19,.300,,.389,6.0,1.6,1.4,0.3
11,Gilbert Arenas\arenagi01,2012,2012,1,17,211,26,64,13,39,7,10,2,18,18,11,1,12,35,72,.406,.333,.700,12.4,4.2,1.1,1.1
12,Darrell Arthur\arthuda01,2009,2013,4,247,4500,726,1565,5,27,199,270,328,967,144,142,162,200,620,1656,.464,.185,.737,18.2,6.7,3.9,0.6
13,Chucky Atkins\atkinch01,2006,2007,2,118,3225,470,1114,180,488,359,443,29,214,475,79,6,184,230,1479,.422,.369,.810,27.3,12.5,1.8,4.0
14,Isaac Austin\austiis01,2001,2002,2,73,1152,132,362,6,27,32,44,61,293,71,29,28,65,130,302,.365,.222,.727,15.8,4.1,4.0,1.0
15,Anthony Avent\aventan01,1996,1996,1,71,1586,179,466,0,0,57,77,108,355,69,30,42,107,202,415,.384,,.740,22.3,5.8,5.0,1.0
16,Wade Baldwin\baldwwa01,2017,2017,1,33,405,36,115,3,22,31,37,11,46,61,18,7,39,40,106,.313,.136,.838,12.3,3.2,1.4,1.8
17,Matt Barnes\barnema02,2016,2016,1,76,2190,264,693,119,370,111,138,84,420,163,78,57,121,234,758,.381,.322,.804,28.8,10.0,5.5,2.1
18,Mike Batiste\batismi01,2003,2003,1,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,.422,.222,.784,16.6,6.4,3.4,0.7
19,Shane Battier\battish01,2002,2011,6,419,13339,1546,3408,403,1062,780,1045,764,2000,716,523,428,460,1064,4275,.454,.379,.746,31.8,10.2,4.8,1.7
20,Jerryd Bayless\bayleje01,2013,2014,2,111,2415,350,860,96,284,147,179,30,235,330,79,22,142,240,943,.407,.338,.821,21.8,8.5,2.1,3.0
21,Troy Bell\belltr01,2004,2004,1,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,.222,.000,1.000,5.7,1.8,0.7,0.7
22,Benoit Benjamin\benjabe01,1996,1996,1,13,404,71,161,0,0,39,56,31,103,16,10,15,34,40,181,.441,,.696,31.1,13.9,7.9,1.2
23,Mike Bibby\bibbymi01,1999,2001,3,214,8103,1244,2793,200,571,465,607,150,746,1675,317,32,641,441,3153,.445,.350,.766,37.9,14.7,3.5,7.8
24,Ronnie Brewer\brewero02,2010,2010,1,5,80,3,13,0,0,4,5,1,7,3,6,0,2,0,10,.231,,.800,16.0,2.0,1.4,0.6
25,Dillon Brooks\brookdi01,2018,2019,2,86,2408,344,787,95,266,128,172,50,262,138,73,18,127,241,911,.437,.357,.744,28.0,10.6,3.0,1.6
26,MarShon Brooks\brookma01,2018,2019,2,10,232,56,118,19,38,25,30,9,26,27,12,3,18,10,156,.475,.500,.833,23.2,15.6,2.6,2.7
27,Andre Brown\brownan01,2008,2008,1,33,286,39,78,0,0,22,49,37,92,8,7,4,14,38,100,.500,,.449,8.7,3.0,2.8,0.2
28,Kwame Brown\brownkw01,2008,2008,1,15,204,19,39,0,0,14,34,20,57,17,6,4,14,24,52,.487,,.412,13.6,3.5,3.8,1.1
29,Greg Buckner\buckngr01,2009,2009,1,63,878,61,159,13,51,20,25,32,130,57,29,8,38,108,155,.384,.255,.800,13.9,2.5,2.1,0.9
30,Rodney Buford\buforro01,2002,2002,1,63,1769,258,593,17,70,58,80,52,272,71,42,12,63,110,591,.435,.243,.725,28.1,9.4,4.3,1.1
31,Antonio Burks\burksan01,2005,2006,2,81,789,79,204,4,17,24,42,5,49,104,33,1,48,70,186,.387,.235,.571,9.7,2.3,0.6,1.3
32,Nick Calathes\calatni01,2014,2015,2,129,2011,246,558,30,104,68,117,42,243,353,129,13,162,217,590,.441,.288,.581,15.6,4.6,1.9,2.7
33,Brian Cardinal\cardibr01,2005,2008,4,159,2588,291,754,100,279,215,254,113,435,200,143,22,156,341,897,.386,.358,.846,16.3,5.6,2.7,1.3
34,Rodney Carney\carnero01,2011,2011,1,2,5,1,3,0,1,0,0,1,1,0,1,0,0,0,2,.333,.000,,2.5,1.0,0.5,0.0
35,Antoine Carr\carran01,2000,2000,1,21,221,28,64,0,0,11,14,8,32,7,3,6,9,42,67,.438,,.786,10.5,3.2,1.5,0.3
36,DeMarre Carroll\carrode01,2010,2011,2,78,834,92,231,0,6,35,55,55,158,35,29,10,24,112,219,.398,.000,.636,10.7,2.8,2.0,0.4
37,Vince Carter\cartevi01,2015,2017,3,199,3895,461,1239,240,697,203,256,94,506,268,141,66,128,366,1365,.372,.344,.793,19.6,6.9,2.5,1.3
38,Omri Casspi\casspom01,2019,2019,1,3,45,7,14,1,5,5,8,2,8,4,2,0,1,2,20,.500,.200,.625,15.0,6.7,2.7,1.3
39,Mario Chalmers\chalmma01,2016,2018,2,121,2674,340,855,98,329,324,387,36,300,408,159,26,218,344,1102,.398,.298,.837,22.1,9.1,2.5,3.4
40,Pete Chilcutt\chilcpe01,1997,1999,3,182,2779,291,696,105,267,66,98,173,579,181,101,66,118,262,753,.418,.393,.673,15.3,4.1,3.2,1.0
41,Jason Collins\collija04,2008,2008,1,31,488,30,59,0,1,20,38,29,89,6,12,17,25,84,80,.508,.000,.526,15.7,2.6,2.9,0.2
42,Mike Conley\conlemi01,2008,2019,12,722,23483,3717,8430,940,2495,1958,2403,305,2107,4083,1072,140,1461,1434,10332,.441,.377,.815,32.5,14.3,2.9,5.7
43,Will Conroy\conrowi01,2007,2007,1,3,17,0,0,0,0,0,0,1,2,1,0,0,0,1,0,,,,5.7,0.0,0.7,0.3
44,Bryce Cotton\cottobr01,2016,2016,1,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1.000,,,1.2,0.8,0.0,0.0
45,Javaris Crittenton\crittja01,2008,2009,2,35,552,79,195,9,35,58,87,24,95,38,13,2,36,40,225,.405,.257,.667,15.8,6.4,2.7,1.1
46,Dante Cunningham\cunnida01,2012,2012,1,64,1124,144,279,0,2,45,69,91,246,37,42,34,29,98,333,.516,.000,.652,17.6,5.2,3.8,0.6
47,Seth Curry\curryse01,2014,2014,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.0,0.0,0.0,0.0
48,Antonio Daniels\daniean01,1998,1998,1,74,1956,228,548,11,52,112,170,22,143,334,55,10,164,88,579,.416,.212,.659,26.4,7.8,1.9,4.5
49,Troy Daniels\danietr01,2017,2017,1,67,1183,185,495,138,355,43,54,22,100,46,20,4,45,90,551,.374,.389,.796,17.7,8.2,1.5,0.7
50,Deyonta Davis\davisde01,2017,2018,2,98,1181,185,312,0,0,48,75,95,310,42,18,56,40,165,418,.593,,.640,12.1,4.3,3.2,0.4
51,Ed Davis\davised01,2013,2014,2,99,1500,229,433,0,0,84,154,149,420,35,30,90,58,194,542,.529,,.545,15.2,5.5,4.2,0.4
52,Josh Davis\davisjo02,2012,2012,1,15,130,10,27,4,13,4,8,16,27,6,7,1,3,19,28,.370,.308,.500,8.7,1.9,1.8,0.4
53,Austin Daye\dayeau01,2013,2013,1,31,328,47,111,20,58,11,16,6,60,21,9,14,16,39,125,.423,.345,.688,10.6,4.0,1.9,0.7
54,Terry Dehere\deherte01,1999,1999,1,22,271,27,74,15,34,5,7,5,22,26,5,3,14,28,74,.365,.441,.714,12.3,3.4,1.0,1.2
55,Michael Dickerson\dickemi01,2000,2003,4,162,5932,1004,2362,217,553,485,605,152,526,458,186,74,341,461,2710,.425,.392,.802,36.6,16.7,3.2,2.8
56,Keyon Dooling\doolike01,2013,2013,1,7,82,10,21,5,12,6,7,0,1,8,1,0,5,8,31,.476,.417,.857,11.7,4.4,0.1,1.1
57,Toney Douglas\douglto01,2017,2017,1,24,394,43,117,7,42,24,29,13,61,56,18,5,21,50,117,.368,.167,.828,16.4,4.9,2.5,2.3
58,Blue Edwards\edwarbl01,1996,1998,3,224,6180,909,2156,149,454,426,532,208,752,527,242,93,385,561,2393,.422,.328,.801,27.6,10.7,3.4,2.4
59,Doug Edwards\edwardo01,1996,1996,1,31,519,32,91,0,4,29,38,35,87,39,10,18,29,51,93,.352,.000,.763,16.7,3.0,2.8,1.3
60,Kevin Edwards\edwarke01,2001,2001,1,46,634,56,170,5,19,43,53,23,82,52,29,8,37,46,160,.329,.263,.811,13.8,3.5,1.8,1.1
61,Obinna Ekezie\ekeziob01,2000,2000,1,39,351,41,88,0,0,43,64,34,92,8,9,4,26,61,125,.466,,.672,9.0,3.2,2.4,0.2
62,Wayne Ellington\ellinwa01,2013,2013,1,40,676,81,199,41,97,15,16,5,52,42,16,1,24,38,218,.407,.423,.938,16.9,5.5,1.3,1.1
63,Andre Emmett\emmetan01,2005,2005,1,8,28,2,6,0,0,3,5,0,2,0,0,0,1,4,7,.333,,.600,3.5,0.9,0.3,0.0
64,James Ennis\ennisja01,2016,2018,3,119,2594,258,556,83,229,156,193,126,423,115,82,33,99,247,755,.464,.362,.808,21.8,6.3,3.6,1.0
65,Tyreke Evans\evansty01,2018,2018,1,52,1607,366,809,114,286,164,209,44,265,269,57,17,117,96,1010,.452,.399,.785,30.9,19.4,5.1,5.2
66,Jordan Farmar\farmajo01,2016,2016,1,12,291,42,100,16,45,10,10,4,25,37,15,2,18,22,110,.420,.356,1.000,24.3,9.2,2.1,3.1
67,Isaac Fontaine\fontais01,2002,2002,1,6,75,3,14,1,5,4,6,0,5,4,0,0,4,6,11,.214,.200,.667,12.5,1.8,0.8,0.7
68,Antonis Fotsis\fotsian01,2002,2002,1,28,320,42,104,7,23,17,20,25,62,10,9,11,21,22,108,.404,.304,.850,11.4,3.9,2.2,0.4
69,Adonal Foyle\foylead01,2009,2009,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,3.0,0.0,0.0,0.0
70,Jamaal Franklin\frankja01,2014,2014,1,21,161,16,39,5,11,2,2,4,23,6,4,2,11,23,39,.410,.455,1.000,7.7,1.9,1.1,0.3
71,Marc Gasol\gasolma01,2009,2019,11,720,24252,4054,8341,232,669,2564,3290,1266,5523,2403,652,1075,1493,2103,10904,.486,.347,.779,33.7,15.1,7.7,3.3
72,Pau Gasol\gasolpa01,2002,2008,7,476,16904,3324,6533,17,74,2301,3152,1200,4096,1473,247,877,1238,1152,8966,.509,.230,.730,35.5,18.8,8.6,3.1
73,Kenny Gattison\gattike01,1996,1996,1,25,570,91,190,0,0,47,78,35,114,14,10,11,40,75,229,.479,,.603,22.8,9.2,4.6,0.6
74,Rudy Gay\gayru01,2007,2013,7,479,17338,3293,7289,488,1420,1488,1929,725,2758,954,640,420,1102,1200,8562,.452,.344,.771,36.2,17.9,5.8,2.0
75,Trey Gilder\gildetr01,2010,2010,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.000,,,2.5,1.0,0.5,0.0
76,Eddie Gill\gilled01,2002,2002,1,23,384,39,92,7,22,31,39,7,28,49,11,3,34,38,116,.424,.318,.795,16.7,5.0,1.2,2.1
77,Gordan Giricek\giricgo01,2003,2003,1,49,1187,207,478,46,130,88,107,18,108,70,22,6,94,104,548,.433,.354,.822,24.2,11.2,2.2,1.4
78,Drew Gooden\goodedr01,2003,2003,1,51,1329,255,576,14,46,92,132,105,295,63,38,22,105,121,616,.443,.304,.697,26.1,12.1,5.8,1.2
79,JaMychal Green\greenja01,2015,2019,5,232,5267,732,1538,114,323,327,427,473,1432,238,134,95,269,613,1905,.476,.353,.766,22.7,8.2,6.2,1.0
80,Jeff Green\greenje02,2015,2016,2,98,2905,450,1049,92,274,242,298,98,428,179,66,40,121,183,1234,.429,.336,.812,29.6,12.6,4.4,1.8
81,Hamed Haddadi\haddaha01,2009,2013,5,134,821,102,220,0,5,66,100,104,285,35,6,71,65,164,270,.464,.000,.660,6.1,2.0,2.1,0.3
82,P.J. Hairston\hairspj02,2016,2016,1,18,375,46,132,16,69,16,22,7,46,9,8,4,17,31,124,.348,.232,.727,20.8,6.9,2.6,0.5
83,Junior Harrington\harriju01,2007,2007,1,29,543,57,137,7,26,31,46,12,68,89,21,5,52,79,152,.416,.269,.674,18.7,5.2,2.3,3.1
84,Othella Harrington\harriot01,2000,2001,2,126,3944,600,1216,0,5,356,452,298,852,133,55,84,321,423,1556,.493,.000,.788,31.3,12.3,6.8,1.1
85,Andrew Harrison\harrian01,2017,2018,2,128,2800,298,789,90,298,272,353,46,267,375,91,47,166,332,958,.378,.302,.771,21.9,7.5,2.1,2.9
86,Antonio Harvey\harvean01,1996,1996,1,18,410,39,95,0,2,20,43,27,94,9,14,21,18,38,98,.411,.000,.465,22.8,5.4,5.2,0.5
87,J.R. Henderson\hendejr01,1999,1999,1,30,331,35,96,2,5,25,45,20,47,22,9,4,18,29,97,.365,.400,.556,11.0,3.2,1.6,0.7
88,Myke Henry\henrymy01,2018,2018,1,20,378,41,109,19,58,6,10,10,38,22,31,6,19,28,107,.376,.328,.600,18.9,5.4,1.9,1.1
89,Xavier Henry\henryxa01,2011,2011,1,38,527,65,160,2,17,33,52,9,37,18,11,3,13,48,165,.406,.118,.635,13.9,4.3,1.0,0.5
90,Carl Herrera\herreca01,1999,1999,1,4,42,3,13,0,0,0,2,5,8,3,0,0,4,3,6,.231,,.000,10.5,1.5,2.0,0.8
91,Ryan Hollins\holliry01,2016,2016,1,32,412,45,72,0,0,26,42,40,87,10,6,20,21,58,116,.625,,.619,12.9,3.6,2.7,0.3
92,Lester Hudson\hudsole01,2010,2012,2,12,81,17,46,3,14,8,10,4,10,6,5,1,7,5,45,.370,.214,.800,6.8,3.8,0.8,0.5
93,Ryan Humphrey\humphry01,2003,2005,3,50,450,55,142,0,3,23,48,56,120,11,16,3,27,56,133,.387,.000,.479,9.0,2.7,2.4,0.2
94,Steven Hunter\huntest01,2010,2010,1,21,158,17,43,0,0,19,36,18,42,0,1,10,9,10,53,.395,,.528,7.5,2.5,2.0,0.0
95,Vince Hunter\huntevi01,2018,2018,1,4,7,3,5,0,0,0,0,2,3,0,0,1,1,0,6,.600,,,1.8,1.5,0.8,0.0
96,Bobby Hurley\hurlebo01,1998,1998,1,27,458,46,123,1,7,29,39,5,30,97,10,0,44,43,122,.374,.143,.744,17.0,4.5,1.1,3.6
97,Allen Iverson\iversal01,2010,2010,1,3,67,15,26,1,1,6,12,1,4,11,1,0,7,5,37,.577,1.000,.500,22.3,12.3,1.3,3.7
98,Bobby Jackson\jacksbo01,2006,2006,1,71,1775,286,748,129,332,107,146,44,223,195,61,1,101,155,808,.382,.389,.733,25.0,11.4,3.1,2.7
99,Jaren Jackson\jacksja02,2019,2019,1,4,111,21,46,2,12,15,19,8,26,6,6,5,4,17,59,.457,.167,.789,27.8,14.8,6.5,1.5
100,Casey Jacobsen\jacobca01,2008,2008,1,53,547,39,115,16,72,13,17,12,65,20,5,1,16,34,107,.339,.222,.765,10.3,2.0,1.2,0.4
101,Marko Jaric\jaricma01,2009,2009,1,53,605,48,145,11,28,29,41,23,65,74,29,11,49,62,136,.331,.393,.707,11.4,2.6,1.2,1.4
102,Alexander Johnson\johnsal01,2007,2007,1,59,753,91,169,0,0,78,118,50,181,17,25,35,47,137,260,.538,,.661,12.8,4.4,3.1,0.3
103,Brice Johnson\johnsbr02,2018,2018,1,9,60,13,31,0,0,1,3,7,18,1,3,4,1,6,27,.419,,.333,6.7,3.0,2.0,0.1
104,Chris Johnson\johnsch04,2013,2013,1,8,102,11,25,6,18,1,2,5,11,2,4,0,3,5,29,.440,.333,.500,12.8,3.6,1.4,0.3
105,James Johnson\johnsja01,2014,2014,1,52,956,143,308,22,87,76,90,60,166,111,42,57,66,102,384,.464,.253,.844,18.4,7.4,3.2,2.1
106,Omari Johnson\johnsom01,2018,2018,1,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22,.429,.333,,18.8,5.5,2.8,1.8
107,Bobby Jones\jonesbo02,2008,2008,1,9,137,14,36,3,13,9,10,10,27,11,5,2,5,17,40,.389,.231,.900,15.2,4.4,3.0,1.2
108,Dahntay Jones\jonesda02,2004,2007,4,221,3441,427,967,32,97,247,342,85,349,140,95,54,183,404,1133,.442,.330,.722,15.6,5.1,1.6,0.6
109,Damon Jones\jonesda01,2001,2001,1,71,1415,170,416,84,231,37,52,16,124,224,36,1,76,58,461,.409,.364,.712,19.9,6.5,1.7,3.2
