,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alexis Ajinca\ajincal01,2014,2017,4,222,3353,556,1071,0,6,218,268,319,1038,130,83,155,217,549,1330,.519,.000,.813,15.1,6.0,4.7,0.6
2,Courtney Alexander\alexaco02,2003,2003,1,66,1360,193,505,19,57,118,146,39,118,79,31,6,68,125,523,.382,.333,.808,20.6,7.9,1.8,1.2
3,Tony Allen\allento01,2018,2018,1,22,273,44,91,4,12,11,21,20,47,9,11,3,19,49,103,.484,.333,.524,12.4,4.7,2.1,0.4
4,Al-Farouq Aminu\aminual01,2012,2014,3,222,5588,609,1333,30,114,278,388,363,1389,283,233,123,295,436,1526,.457,.263,.716,25.2,6.9,6.3,1.3
5,Lou Amundson\amundlo01,2013,2014,2,36,393,34,74,0,0,14,40,52,113,14,18,17,22,76,82,.459,,.350,10.9,2.3,3.1,0.4
6,Chris Andersen\anderch01,2005,2008,3,104,2034,249,463,0,3,182,297,200,574,77,22,145,91,234,680,.538,.000,.613,19.6,6.5,5.5,0.7
7,David Andersen\anderda03,2011,2011,1,29,223,33,74,5,13,7,15,12,50,6,2,6,14,29,78,.446,.385,.467,7.7,2.7,1.7,0.2
8,Kenny Anderson\anderke01,2003,2003,1,23,446,61,150,1,2,16,22,14,45,77,18,4,42,43,139,.407,.500,.727,19.4,6.0,2.0,3.3
9,Ryan Anderson\anderry01,2013,2016,4,230,6981,1315,3127,533,1438,539,621,496,1352,242,123,83,269,448,3702,.421,.371,.868,30.4,16.1,5.9,1.1
10,Trevor Ariza\arizatr01,2011,2012,2,116,3950,471,1165,111,358,217,299,102,623,297,189,56,194,253,1270,.404,.310,.726,34.1,10.9,5.4,2.6
11,Darrell Armstrong\armstda01,2004,2005,2,93,2659,344,895,152,499,142,165,79,274,376,148,18,183,178,982,.384,.305,.861,28.6,10.6,2.9,4.0
12,Hilton Armstrong\armsthi01,2007,2010,4,209,2697,292,569,0,2,159,263,221,568,78,61,113,187,434,743,.513,.000,.605,12.9,3.6,2.7,0.4
13,Omer Asik\asikom01,2015,2018,4,189,3763,355,688,0,0,219,388,419,1362,115,56,89,174,333,929,.516,,.564,19.9,4.9,7.2,0.6
14,Stacey Augmon\augmost01,2003,2004,2,139,2278,222,539,1,14,164,211,78,293,154,82,24,116,194,609,.412,.071,.777,16.4,4.4,2.1,1.1
15,Gustavo Ayon\ayongu01,2012,2012,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,.536,.000,.619,20.1,5.9,4.9,1.4
16,Luke Babbitt\babbilu01,2014,2016,3,137,2148,274,635,139,319,66,87,55,347,106,35,29,64,205,753,.431,.436,.759,15.7,5.5,2.5,0.8
17,Brandon Bass\bassbr01,2006,2007,2,50,430,43,114,0,1,24,35,31,111,6,5,10,21,34,110,.377,.000,.686,8.6,2.2,2.2,0.1
18,Lonny Baxter\baxtelo01,2005,2005,1,4,36,3,11,0,0,0,2,4,8,0,0,0,4,10,6,.273,,.000,9.0,1.5,2.0,0.0
19,Jerryd Bayless\bayleje01,2011,2011,1,11,149,17,49,3,14,13,17,2,15,28,2,1,17,16,50,.347,.214,.765,13.5,4.5,1.4,2.5
20,Marco Belinelli\belinma01,2011,2012,2,146,3923,588,1377,241,608,199,254,36,323,193,86,11,146,261,1616,.427,.396,.783,26.9,11.1,2.2,1.3
21,Ryan Bowen\bowenry01,2008,2009,2,74,879,71,138,0,1,19,34,65,124,34,46,16,20,114,161,.514,.000,.559,11.9,2.2,1.7,0.5
22,Anthony Brown\brownan02,2017,2017,1,9,143,14,41,6,24,0,0,6,26,6,5,1,5,13,34,.341,.250,,15.9,3.8,2.9,0.7
23,Bobby Brown\brownbo02,2010,2010,1,22,328,60,152,17,66,8,8,1,18,46,9,1,24,28,145,.395,.258,1.000,14.9,6.6,0.8,2.1
24,Devin Brown\brownde02,2007,2010,3,160,3498,472,1193,163,471,270,341,113,479,261,106,19,202,282,1377,.396,.346,.792,21.9,8.6,3.0,1.6
25,P.J. Brown\brownpj01,2003,2006,4,315,10559,1265,2654,0,4,701,828,928,2675,570,265,253,390,855,3231,.477,.000,.847,33.5,10.3,8.5,1.8
