,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Quincy Acy\acyqu01,2013,2014,2,36,403,48,89,3,7,36,46,35,92,15,17,18,19,61,135,.539,.429,.783,11.2,3.8,2.6,0.4
2,Hassan Adams\adamsha01,2009,2009,1,12,52,4,13,0,0,3,6,1,7,1,1,1,4,4,11,.308,,.500,4.3,0.9,0.6,0.1
3,Alexis Ajinca\ajincal01,2011,2011,1,24,265,47,101,9,27,11,15,12,61,8,8,14,17,60,114,.465,.333,.733,11.0,4.8,2.5,0.3
4,Solomon Alabi\alabiso01,2011,2012,2,26,181,16,51,0,0,7,10,22,61,5,4,11,8,16,39,.314,,.700,7.0,1.5,2.3,0.2
5,Rafer Alston\alstora01,2003,2005,2,127,3697,542,1309,190,519,228,312,63,386,706,156,22,256,332,1502,.414,.366,.731,29.1,11.8,3.0,5.6
6,David Andersen\anderda03,2011,2011,1,11,150,23,47,3,10,7,7,8,34,7,3,3,8,11,56,.489,.300,1.000,13.6,5.1,3.1,0.6
7,Alan Anderson\anderal01,2012,2013,2,82,1956,291,758,119,346,155,181,42,182,129,53,10,105,166,856,.384,.344,.856,23.9,10.4,2.2,1.6
8,Willie Anderson\anderwi01,1996,1996,1,49,1564,232,527,29,95,113,132,35,186,149,58,51,119,171,606,.440,.305,.856,31.9,12.4,3.8,3.0
9,OG Anunoby\anunoog01,2018,2019,2,79,1602,178,379,79,215,39,62,48,201,58,55,16,49,143,474,.470,.367,.629,20.3,6.0,2.5,0.7
10,Rafael Araujo\araujra01,2005,2006,2,111,1337,129,320,1,4,58,83,102,329,31,45,14,94,261,317,.403,.250,.699,12.0,2.9,3.0,0.3
11,Robert Archibald\archiro01,2004,2004,1,30,246,8,30,0,0,13,27,21,50,12,13,3,9,49,29,.267,,.481,8.2,1.0,1.7,0.4
12,Carlos Arroyo\arroyca01,2002,2002,1,17,96,13,29,0,0,4,6,3,12,21,6,0,12,12,30,.448,,.667,5.6,1.8,0.7,1.2
13,D.J. Augustin\augusdj01,2014,2014,1,10,82,7,24,1,11,6,6,0,4,10,1,0,9,7,21,.292,.091,1.000,8.2,2.1,0.4,1.0
14,LaMark Baker\bakerla01,1999,1999,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,,,2.0,0.0,0.0,0.0
15,Marcus Banks\banksma01,2009,2011,3,31,306,45,93,8,29,31,40,4,27,35,14,2,25,39,129,.484,.276,.775,9.9,4.2,0.9,1.1
16,Leandro Barbosa\barbole01,2011,2012,2,100,2341,492,1107,112,324,185,228,35,178,182,86,13,152,213,1281,.444,.346,.811,23.4,12.8,1.8,1.8
17,Andrea Bargnani\bargnan01,2007,2013,7,433,13130,2419,5534,579,1606,1164,1411,401,2095,544,187,382,725,1124,6581,.437,.361,.825,30.3,15.2,4.8,1.3
18,Andre Barrett\barrean01,2006,2006,1,17,261,35,97,2,13,6,9,8,22,50,10,0,14,12,78,.361,.154,.667,15.4,4.6,1.3,2.9
19,Maceo Baston\bastoma01,2003,2008,2,31,209,32,50,0,0,17,22,13,49,3,6,15,10,36,81,.640,,.773,6.7,2.6,1.6,0.1
