,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Blake Ahearn\ahearbl01,2009,2009,1,3,19,2,6,2,4,2,2,0,1,2,1,0,1,3,8,.333,.500,1.000,6.3,2.7,0.3,0.7
2,LaMarcus Aldridge\aldrila01,2016,2019,4,225,7255,1754,3517,50,168,836,1006,618,1840,415,130,265,312,476,4394,.499,.298,.831,32.2,19.5,8.2,1.8
3,Cory Alexander\alexaco01,1996,1998,3,177,2515,317,790,140,382,136,191,45,212,446,134,23,261,295,910,.401,.366,.712,14.2,5.1,1.2,2.5
4,Derek Anderson\anderde01,2001,2001,1,82,2859,413,993,101,253,342,402,75,363,301,120,14,165,188,1269,.416,.399,.851,34.9,15.5,4.4,3.7
5,Greg Anderson\andergr01,1988,1997,4,292,6388,993,1979,1,10,473,849,602,1737,184,228,316,418,740,2460,.502,.100,.557,21.9,8.4,5.9,0.6
6,James Anderson\anderja01,2011,2013,3,87,983,108,280,42,125,60,79,21,116,68,14,10,50,66,318,.386,.336,.759,11.3,3.7,1.3,0.8
7,Kyle Anderson\anderky01,2015,2018,4,257,4601,493,1031,49,145,220,300,147,920,444,241,122,202,302,1255,.478,.338,.733,17.9,4.9,3.6,1.7
8,Michael Anderson\andermi01,1989,1989,1,36,730,73,175,1,7,57,82,44,89,153,44,3,84,64,204,.417,.143,.695,20.3,5.7,2.5,4.3
9,Willie Anderson\anderwi01,1989,1995,7,451,13611,2487,5228,57,233,915,1170,487,1794,1874,505,279,1001,1234,5946,.476,.245,.782,30.2,13.2,4.0,4.2
10,Joel Anthony\anthojo01,2017,2017,1,19,122,10,16,0,0,5,8,8,31,3,2,6,4,11,25,.625,,.625,6.4,1.3,1.6,0.2
11,Bird Averitt\averibi01,1974,1974,1,74,1639,343,912,9,50,156,224,44,121,132,63,6,137,166,851,.376,.180,.696,22.1,11.5,1.6,1.8
12,Jeff Ayres\pendeje02,2014,2015,2,124,1335,156,269,0,0,65,91,126,375,74,21,33,89,206,377,.580,,.714,10.8,3.0,3.0,0.6
13,Gene Banks\banksge01,1982,1985,4,323,9113,1529,2811,2,22,740,1017,716,2050,914,303,74,583,904,3800,.544,.091,.728,28.2,11.8,6.3,2.8
14,Steve Bardo\bardost01,1992,1992,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0
15,Brent Barry\barrybr01,2005,2008,4,261,5186,629,1389,356,881,274,331,87,564,493,151,62,195,353,1888,.453,.404,.828,19.9,7.2,2.2,1.9
16,Tim Bassett\basseti01,1980,1980,1,5,72,4,12,0,0,2,3,4,15,10,3,0,5,13,10,.333,,.667,14.4,2.0,3.0,2.0
17,Mengke Bateer\bateeme01,2003,2003,1,12,46,4,17,1,3,0,2,2,10,4,0,0,6,14,9,.235,.333,.000,3.8,0.8,0.8,0.3
18,Dave Batton\battoda01,1984,1984,1,4,31,5,10,0,0,0,0,1,4,3,0,3,4,5,10,.500,,,7.8,2.5,1.0,0.8
19,Aron Baynes\baynear01,2013,2015,3,139,1754,274,526,1,5,116,137,178,495,74,19,33,112,262,665,.521,.200,.847,12.6,4.8,3.6,0.5
20,Charles Beasley\beaslch01,1968,1971,4,276,7324,938,2056,30,124,716,828,67,703,858,,,541,649,2622,.456,.242,.865,26.5,9.5,2.5,3.1
21,John Beasley\beasljo01,1968,1972,5,334,11915,2407,4873,22,80,1147,1385,1162,3673,514,,,539,1014,5983,.494,.275,.828,35.7,17.9,11.0,1.5
22,Arthur Becker\beckear01,1973,1973,1,6,50,7,12,0,0,6,6,4,12,0,,,4,3,20,.583,,1.000,8.3,3.3,2.0,0.0
23,Bob Bedell\bedelbo01,1969,1971,3,193,2985,553,1339,11,54,348,443,333,880,241,,,259,392,1465,.413,.204,.786,15.5,7.6,4.6,1.2
24,William Bedford\bedfowi01,1993,1993,1,16,66,9,27,1,1,6,12,1,10,0,0,1,1,15,25,.333,1.000,.500,4.1,1.6,0.6,0.0
25,Marco Belinelli\belinma01,2014,2019,3,146,3486,549,1197,219,539,205,241,44,391,279,84,11,159,221,1522,.459,.406,.851,23.9,10.4,2.7,1.9
