,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alvan Adams\adamsal01,1976,1988,13,988,27203,5709,11464,2,15,2490,3160,2015,6937,4012,1289,808,2194,3214,13910,.498,.133,.788,27.5,14.1,7.0,4.1
2,Rafael Addison\addisra01,1987,1987,1,62,711,146,331,16,50,51,64,41,106,45,27,7,54,75,359,.441,.320,.797,11.5,5.8,1.7,0.7
3,Danny Ainge\aingeda01,1993,1995,3,222,5092,755,1689,308,830,306,369,102,454,650,172,23,273,470,2124,.447,.371,.829,22.9,9.6,2.0,2.9
4,Lou Amundson\amundlo01,2009,2010,2,155,2212,286,526,0,2,120,243,256,616,59,56,138,113,323,692,.544,.000,.494,14.3,4.5,4.0,0.4
5,Ryan Anderson\anderry01,2019,2019,1,4,86,9,25,3,15,1,2,8,14,9,0,0,3,5,22,.360,.200,.500,21.5,5.5,3.5,2.3
6,Robert Archibald\archiro01,2004,2004,1,1,6,0,1,0,0,1,2,0,1,1,0,0,1,1,1,.000,,.500,6.0,1.0,1.0,1.0
7,Trevor Ariza\arizatr01,2019,2019,1,4,135,15,40,10,27,6,7,2,18,14,1,1,6,6,46,.375,.370,.857,33.8,11.5,4.5,3.5
8,Dennis Awtrey\awtrede01,1975,1978,4,309,7596,753,1663,,,367,539,543,1655,846,123,130,127,703,1873,.453,,.681,24.6,6.1,5.4,2.7
9,Deandre Ayton\aytonde01,2019,2019,1,4,121,27,43,0,0,11,13,8,43,15,2,4,4,13,65,.628,,.846,30.3,16.3,10.8,3.8
10,James Bailey\baileja01,1988,1988,1,65,869,109,241,0,4,70,89,73,210,42,17,28,70,180,288,.452,.000,.787,13.4,4.4,3.2,0.6
