,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Mark Acres\acresma01,1993,1993,1,12,246,24,40,0,0,10,14,24,61,5,3,6,11,32,58,.600,,.714,20.5,4.8,5.1,0.4
2,Michael Adams\adamsmi01,1987,1994,4,281,8934,1295,3155,276,891,879,1031,185,856,1844,426,25,635,536,3745,.410,.310,.853,31.8,13.3,3.0,6.6
3,Mark Alarie\alarima01,1988,1991,4,261,4390,820,1741,32,126,257,317,365,906,289,110,81,253,574,1929,.471,.254,.811,16.8,7.4,3.5,1.1
4,Courtney Alexander\alexaco02,2001,2002,2,83,2235,400,869,19,54,188,226,65,228,127,64,9,114,176,1007,.460,.352,.832,26.9,12.1,2.7,1.5
5,Morris Almond\almonmo01,2012,2012,1,4,67,6,17,1,3,1,3,1,8,2,7,0,1,6,14,.353,.333,.333,16.8,3.5,2.0,0.5
6,Ashraf Amaya\amayaas01,1997,1997,1,31,144,12,40,1,1,15,28,19,52,3,7,3,10,29,40,.300,1.000,.536,4.6,1.3,1.7,0.1
7,Alan Anderson\anderal01,2016,2016,1,13,192,21,59,12,37,11,15,1,27,14,4,1,2,25,65,.356,.324,.733,14.8,5.0,2.1,1.1
8,Ron Anderson\anderro01,1994,1994,1,10,180,20,43,3,14,9,11,8,27,11,3,1,9,7,52,.465,.214,.818,18.0,5.2,2.7,1.1
9,Gilbert Arenas\arenagi01,2004,2011,8,357,14049,2874,6818,868,2430,2314,2860,288,1513,2046,636,96,1239,1161,8930,.422,.357,.809,39.4,25.0,4.2,5.7
10,Trevor Ariza\arizatr01,2013,2014,2,133,4194,577,1304,256,651,227,288,143,741,304,198,40,216,251,1637,.442,.393,.788,31.5,12.3,5.6,2.3
11,Hilton Armstrong\armsthi01,2011,2011,1,41,412,31,64,1,3,14,23,39,114,10,15,16,25,75,77,.484,.333,.609,10.0,1.9,2.8,0.2
12,Chucky Atkins\atkinch01,2006,2006,1,28,552,66,174,33,92,22,31,12,45,69,14,0,30,58,187,.379,.359,.710,19.7,6.7,1.6,2.5
13,Isaac Austin\austiis01,2000,2000,1,59,1173,151,352,1,4,94,137,64,282,74,17,38,107,128,397,.429,.250,.686,19.9,6.7,4.8,1.3
14,Johnny Austin\austijo01,1967,1967,1,4,61,5,22,,,13,16,,7,4,,,,12,23,.227,,.813,15.3,5.8,1.8,1.0
15,Gus Bailey\bailegu01,1980,1980,1,20,180,16,35,1,1,5,13,6,28,26,7,4,11,18,38,.457,1.000,.385,9.0,1.9,1.4,1.3
16,Greg Ballard\ballagr01,1978,1985,8,643,18687,3699,7800,61,199,1247,1584,1201,4094,1542,762,233,935,1463,8706,.474,.307,.787,29.1,13.5,6.4,2.4
17,Jim Barnes\barneji01,1966,1971,2,77,2028,323,756,,,189,279,,699,93,,,,273,835,.427,,.677,26.3,10.8,9.1,1.2
18,John Barnhill\barnhjo01,1967,1969,2,83,1718,263,622,,,105,168,,210,207,,,,143,631,.423,,.625,20.7,7.6,2.5,2.5
19,Earl Barron\barroea01,2013,2013,1,11,122,13,37,0,0,2,5,16,43,3,5,5,10,23,28,.351,,.400,11.1,2.5,3.9,0.3
20,Billy Ray Bates\batesbi01,1983,1983,1,15,277,53,129,2,5,10,20,10,18,14,13,3,12,18,118,.411,.400,.500,18.5,7.9,1.2,0.9
21,Dave Batton\battoda01,1983,1983,1,54,558,85,191,0,3,8,17,45,119,29,15,13,28,56,178,.445,.000,.471,10.3,3.3,2.2,0.5
22,Lonny Baxter\baxtelo01,2004,2004,1,12,132,16,32,0,1,9,12,11,31,5,2,5,5,23,41,.500,.000,.750,11.0,3.4,2.6,0.4
23,Bradley Beal\bealbr01,2013,2019,7,410,13876,2844,6369,876,2222,1121,1414,310,1531,1395,433,135,825,864,7685,.447,.394,.793,33.8,18.7,3.7,3.4
24,Ron Behagen\behagro01,1980,1980,1,6,64,9,23,0,0,5,6,6,14,7,0,4,4,14,23,.391,,.833,10.7,3.8,2.3,1.2
25,Walt Bellamy\bellawa01,1962,1966,5,327,13613,3413,6617,,,2194,3318,,5438,778,,,,1156,9020,.516,,.661,41.6,27.6,16.6,2.4
26,Mike Bibby\bibbymi01,2011,2011,1,2,29,1,9,0,4,0,0,0,3,8,1,0,1,3,2,.111,.000,,14.5,1.0,1.5,4.0
27,Dave Bing\bingda01,1976,1977,2,146,4461,768,1710,,,468,598,148,380,767,179,28,,412,2004,.449,,.783,30.6,13.7,2.6,5.3
28,DeJuan Blair\blairde01,2015,2016,2,58,398,54,125,0,1,9,19,36,113,14,15,3,28,94,117,.432,.000,.474,6.9,2.0,1.9,0.2
29,Steve Blake\blakest01,2004,2005,2,119,2040,218,593,111,295,88,108,36,188,278,70,7,167,147,635,.368,.376,.815,17.1,5.3,1.6,2.3
30,Andray Blatche\blatcan01,2006,2012,7,409,9289,1660,3631,34,143,688,943,762,2217,601,331,366,681,1053,4042,.457,.238,.730,22.7,9.9,5.4,1.5
31,Bojan Bogdanovic\bogdabo02,2017,2017,1,26,601,107,234,45,115,71,76,14,80,21,10,4,38,47,330,.457,.391,.934,23.1,12.7,3.1,0.8
32,Muggsy Bogues\boguemu01,1988,1988,1,79,1628,166,426,3,16,58,74,35,136,404,127,3,101,138,393,.390,.188,.784,20.6,5.0,1.7,5.1
33,Etdrick Bohannon\bohanet01,1999,1999,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0
34,Manute Bol\bolma01,1986,1994,4,241,4784,306,674,0,3,113,202,279,1115,48,59,908,161,605,725,.454,.000,.559,19.9,3.0,4.6,0.2
35,George Bon Salle\bonsage01,1962,1962,1,3,9,2,8,,,0,0,,2,0,,,,0,4,.250,,,3.0,1.3,0.7,0.0
36,Trevor Booker\booketr01,2011,2014,4,235,4764,650,1217,1,10,211,342,464,1194,179,150,146,185,479,1512,.534,.100,.617,20.3,6.4,5.1,0.8
37,Calvin Booth\boothca01,2000,2007,4,128,1413,141,327,2,4,54,78,114,339,60,33,133,59,229,338,.431,.500,.692,11.0,2.6,2.6,0.5
38,Lawrence Boston\bostola01,1980,1980,1,13,125,24,52,0,0,8,13,19,39,2,4,2,8,25,56,.462,,.615,9.6,4.3,3.0,0.2
39,Earl Boykins\boykiea01,2010,2010,1,67,1117,172,403,19,60,77,89,17,75,171,24,3,69,48,440,.427,.317,.865,16.7,6.6,1.1,2.6
40,Gary Bradds\braddga01,1965,1966,2,44,350,48,117,,,48,67,,92,20,,,,37,144,.410,,.716,8.0,3.3,2.1,0.5
41,Dudley Bradley\bradldu01,1985,1986,2,143,2074,215,508,37,132,86,135,58,229,280,181,24,128,253,553,.423,.280,.637,14.5,3.9,1.6,2.0
42,Torraye Braggs\braggto01,2004,2004,1,4,22,3,5,0,0,0,0,3,5,1,0,0,1,8,6,.600,,,5.5,1.5,1.3,0.3
43,Dave Britton\brittda01,1981,1981,1,2,9,2,3,0,0,0,0,0,2,3,1,0,2,2,4,.667,,,4.5,2.0,1.0,1.5
44,Damone Brown\brownda02,2005,2005,1,14,152,23,62,4,11,4,9,10,28,14,1,6,15,17,54,.371,.364,.444,10.9,3.9,2.0,1.0
45,Dee Brown\brownde03,2009,2009,1,17,233,17,44,6,20,1,3,7,28,33,10,0,14,22,41,.386,.300,.333,13.7,2.4,1.6,1.9
46,Kwame Brown\brownkw01,2002,2005,4,253,5737,715,1571,1,6,517,779,441,1380,252,157,173,360,520,1948,.455,.167,.664,22.7,7.7,5.5,1.0
47,Lewis Brown\brownle02,1981,1981,1,2,5,0,3,0,0,2,5,1,2,0,0,0,1,2,2,.000,,.400,2.5,1.0,1.0,0.0
48,Troy Brown\browntr01,2019,2019,1,1,7,1,3,0,0,2,2,0,1,0,1,0,0,1,4,.333,,1.000,7.0,4.0,1.0,0.0
49,Thomas Bryant\bryanth01,2019,2019,1,1,9,1,5,0,2,4,4,2,4,0,0,0,0,0,6,.200,.000,1.000,9.0,6.0,4.0,0.0
50,Trey Burke\burketr01,2017,2017,1,57,703,116,255,31,70,22,29,7,47,100,11,5,48,54,285,.455,.443,.759,12.3,5.0,0.8,1.8
51,Steve Burtt\burttst01,1993,1993,1,4,35,10,26,1,3,8,10,2,3,6,2,0,4,5,29,.385,.333,.800,8.8,7.3,0.8,1.5
52,Al Butler\butleal01,1965,1965,1,25,172,24,73,,,11,15,,21,12,,,,25,59,.329,,.733,6.9,2.4,0.8,0.5
53,Caron Butler\butleca01,2006,2010,5,310,11934,2168,4783,215,682,1338,1535,540,2051,1100,563,90,829,877,5889,.453,.315,.872,38.5,19.0,6.6,3.5
54,Mitchell Butler\butlemi02,1994,2004,4,253,4285,563,1279,70,236,290,472,202,584,267,178,46,284,444,1486,.440,.297,.614,16.9,5.9,2.3,1.1
